documento,categoria,segmento_grupo_familiar,edad,prima_promedio,pct_vida,pct_accidentes,pct_viajes,pct_mascotas,pct_hogar,pct_movilidad,pct_vida_deudor
2000001,A,LAMBDA,33,57824,7,20,26,3,1,23,9
2000002,A,RHO,52,127251,41,15,7,7,13,5,3
2000003,A,LAMBDA,56,231629,13,21,33,4,8,24,5
2000004,A,LAMBDA,67,402528,13,24,32,10,3,17,5
2000005,A,LAMBDA,59,370035,14,26,29,10,6,18,10
2000007,A,LAMBDA,52,190265,10,22,33,7,1,15,1
2000008,A,RHO,56,309786,39,18,3,15,11,10,10
2000010,A,LAMBDA,52,281083,16,25,32,1,1,20,4
2000011,A,EPSILON,23,473692,27,15,14,11,22,9,8
2000013,A,LAMBDA,18,254643,12,21,33,3,2,25,7
2000014,A,RHO,54,519710,36,11,13,11,15,6,8
2000016,A,EPSILON,46,450521,26,8,9,9,27,12,3
2000018,A,LAMBDA,21,276629,7,28,26,2,1,24,1
2000019,A,IOTA,33,445011,15,9,33,8,25,8,1
2000020,A,RHO,38,560458,42,19,12,6,11,8,5
2000021,A,IOTA,74,307312,10,15,38,2,30,6,1
2000022,A,LAMBDA,27,126781,17,30,29,8,5,19,1
2000023,A,EPSILON,18,186294,32,13,13,11,20,6,1
2000024,A,EPSILON,53,456117,30,8,17,6,30,6,5
2000026,A,LAMBDA,32,102792,10,20,35,3,4,20,4
2000028,A,RHO,56,236606,35,16,3,13,18,10,12
2000029,A,LAMBDA,39,163470,11,30,31,5,4,19,8
2000030,A,RHO,61,367902,43,10,7,9,13,6,11
2000031,A,LAMBDA,50,381470,17,21,29,8,8,25,9
2000032,A,IOTA,61,233880,13,12,39,1,27,11,7
2000033,A,LAMBDA,33,157253,10,22,33,7,1,23,3
2000034,A,RHO,51,289249,41,18,10,7,17,7,6
2000036,A,RHO,31,428858,35,13,9,11,19,1,11
2000037,A,IOTA,66,487007,18,13,39,1,27,8,1
2000038,A,LAMBDA,61,58418,16,28,25,6,7,24,10
2000039,A,LAMBDA,29,50324,12,26,29,6,2,16,7
2000041,A,LAMBDA,47,423537,11,21,34,1,2,24,10
2000042,A,RHO,55,102306,44,10,8,13,16,10,7
2000043,A,LAMBDA,70,594315,9,26,27,8,8,19,9
2000045,A,LAMBDA,29,283080,16,24,33,1,6,18,1
2000047,A,LAMBDA,65,224143,11,23,26,3,3,16,8
2000048,A,RHO,64,590081,38,14,6,10,12,4,2
2000049,A,LAMBDA,53,223319,7,29,29,7,5,22,5
2000006,B,RHO,70,511141,44,15,6,15,17,6,12
2000009,B,LAMBDA,45,562323,15,22,33,1,8,19,10
2000015,B,LAMBDA,59,322075,10,23,33,7,1,21,2
2000035,B,LAMBDA,51,188157,10,24,30,5,6,16,2
2000040,B,LAMBDA,32,162352,7,23,28,1,7,17,3
2000044,B,LAMBDA,64,427399,11,27,28,7,7,24,10
2000046,B,LAMBDA,33,416945,8,24,28,6,1,19,10
2000012,C,IOTA,64,52056,18,12,31,1,23,6,2
2000017,C,LAMBDA,42,91324,15,30,32,2,1,19,3
2000025,C,RHO,33,143346,37,15,9,15,13,4,4
2000027,C,LAMBDA,50,485673,11,22,34,4,1,16,9
2000050,C,LAMBDA,48,466390,9,22,34,4,1,18,1
3999999,MU,,45,350000,5,8,10,2,3,20,52
